HOST,seq_num,is_image,add_orderid,add_side,add_price,add_qty,add_position,update_orderid,update_side,update_price,update_qty,update_position,delete_orderid,delete_side,trade_orderid,trade_side,trade_qty,trade_price
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570359500000,BUY,0.265,30000,18,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7183042943807310000,BUY,0.25,150000,125,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178906855942000000,BUY,0.255,825400,73,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7183656746174450000,BUY,0.245,30000,143,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031755390000,BUY,0.24,30000,149,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207570760000,BUY,0.235,50000,160,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218732170000,BUY,0.27,36000,9,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103450000,BUY,0.27,60000,11,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570359510000,BUY,0.265,203100,22,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103840000,BUY,0.255,30000,100,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569800000,BUY,0.22,50000,191,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983104430000,BUY,0.27,2500,16,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178115207569470000,BUY,0.215,1000000,197,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570360410000,BUY,0.265,2500,28,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429420000,BUY,0.25,100000,123,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031755390000,BUY,0.2,50000,198,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184448394545900000,BUY,0.27,2500,4,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184844218732660000,BUY,0.27,66000,10,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7177500580569460000,BUY,0.225,500000,180,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570361070000,BUY,0.265,336700,33,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570361070000,BUY,0.265,519700,31,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429420000,BUY,0.255,100000,92,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7185824983103350000,BUY,0.24,1000000,158,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7181677625244220000,BUY,0.255,100000,89,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7178511031756020000,BUY,0.245,60000,130,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570361080000,BUY,0.265,150000,34,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7182073449429400000,BUY,0.265,110000,25,,BUY,,,,,BUY,,BUY,,
2019-09-16 22:10:16.494563 UTC,1568671807407770000,TRUE,7184052570359550000,BUY,0.265,65000,24,,BUY,,,,,BUY,,BUY,,
